budget	link	location	post_date	propose_amount	title	view	content	office	time_limit	owner_positive
1萬~5萬	http://case.518.com.tw/casepage-detail-123888.html?from=google&a_id=3471	新北市	2017-04-15	10	公司形象網站建置	74	"配合時間：預計2017年05月底前完成驗收
配合地點：在家作業，以E-mail溝通聯繫、進度回報
案件說明： 
1. 非套版設計，靜態和動態網頁皆可 RWD
2. 主選單包含：連同首頁共5-10個頁面
3. ..欲查看案件詳細內容，請先登入或免費註冊"	在家工作 / 在自設公司、工作室接案 / 須定期至指定公司	60 天 【急件】	低
5萬~10萬	http://case.518.com.tw/casepage-detail-123873.html?from=google&a_id=3471	不拘	2017-04-15	9	購物網站平台設計	185	"1.案件內容：網站平台,會員註冊(需FB),金流介接(與銀行/第3方),訂單管理,會員管理
2.配合時間：1個月內完成
3.配合地點：不限
4.注意事項：前台需要RWD+html5,後台程式需要用PHP+MySQ..欲查看案件詳細內容，請先登入或免費註冊"	在家工作 / 在自設公司、工作室接案 / 須定期至指定公司	60 天 【長期合作】 (註:尋找日後配合人選)	中
1萬~5萬	http://case.518.com.tw/casepage-detail-123429.html?from=google&a_id=3471	新北市	2017-04-15	32	網頁Banner 內頁修圖 設計美編	802	"1.案件說明：(banner 與內頁美編修圖 可長期或論件計酬)
2.配合時間：(可長期配合或論件計酬)
3.配合地點：(在家作業可使用line聯繫 研討時需會面)
4.注意事項：(請自備近期作品或連..欲查看案件詳細內容，請先登入或免費註冊"	在家工作 / 在自設公司、工作室接案	30 天 【長期合作】 (註:尋找日後配合人選)	中
10萬~30萬	http://case.518.com.tw/casepage-detail-123469.html?from=google&a_id=3471	台北市	2017-04-15	7	金融網站前端開發	748	"1.案件說明：專案開發工作
2.配合時間：長期合作
3.配合地點：台北市
4.注意事項：須熟悉下列技術
[FrontEnd]
1.ReactJS 
2.RWD (Bootstrap)
3.HTML5/CSS(含切版)
4.BackEnd API介接
..欲查看案件詳細內容，請先登入或免費註冊"	在自設公司、工作室接案	30 天 【一般案件】	中
1萬~5萬	http://case.518.com.tw/casepage-detail-123342.html?from=google&a_id=3471	台中市	2017-04-15	34	產品命名/LOGO設計/網頁設計	892	"1.案件說明：3C產品命名，命名須淺顯易懂(中/英)文皆需要
           還需要LOGO設計及簡易網站設計搭建
2.配合時間：(在家作業)
3.配合地點：不拘
4.注意事項：產品命名/ Slogan標語..欲查看案件詳細內容，請先登入或免費註冊"	在家工作	30 天 【一般案件】	中
1萬~5萬	http://case.518.com.tw/casepage-detail-123846.html?from=google&a_id=3471	桃園市	2017-04-14	5	美食投栗系統前後台建置	195	"【案件說明】
1. 提供註冊與上傳美食
2. 需可上傳圖片、店家地址、店家外觀圖或選附近路標(限無地址選項)
3. 單一帳號不可以同時推薦同一地址2次
4. 選出前20美食，委請網友投票選出第..欲查看案件詳細內容，請先登入或免費註冊"	在家工作 / 在自設公司、工作室接案	30 天 【一般案件】	低
10萬~30萬	http://case.518.com.tw/casepage-detail-123836.html?from=google&a_id=3471	不拘	2017-04-14	18	新聞平台含購物車功能RWD網站架設	395	"1.案件內容：
架設新聞平台含購物車功能RWD網站需擅長網頁版型設計、網頁切版製作、網頁美編設計之人才，美感佳、熟悉RWD框架、有經驗且能長期配合者優先，形式參考：
1.https://theinitium..欲查看案件詳細內容，請先登入或免費註冊"	在家工作 / 在自設公司、工作室接案 / 須定期至指定公司	60 天 【一般案件】	中
1萬~5萬	http://case.518.com.tw/casepage-detail-123804.html?from=google&a_id=3471	高雄市	2017-04-14	11	wordpress設計(新聞、文章平台)	299	"1.案件說明：用途是發佈遊戲相關的新聞、心得文章及攻略
因為需要趕上線所以先把發文的功能及版面弄好就好，
之後需要逐步增加功能歡迎長期配合。
需要RWD及符合扁平化設計的視覺風格。

..欲查看案件詳細內容，請先登入或免費註冊"	在家工作	30 天 【長期合作】 (註:尋找日後配合人選)	低
1萬~5萬	http://case.518.com.tw/casepage-detail-123802.html?from=google&a_id=3471	高雄市	2017-04-14	0	ECShop 功能客製 [可長期配合]	260	"一、案件說明：ECShop 二次開發新功能
1.Google 快速登入
2.金額千位分隔符
3.PAYPAL 模組修改,收到錢後台會顯示已付款
4.繳費代碼回傳到 ECShop 訂單
5.後台的虛擬卡列表需要輸入密碼..欲查看案件詳細內容，請先登入或免費註冊"	在家工作	60 天 【長期合作】 (註:尋找日後配合人選)	中
1萬~5萬	http://case.518.com.tw/casepage-detail-123714.html?from=google&a_id=3471	不拘	2017-04-14	9	RWD/APP 前後台平台架構	502	"關於設計:
先做RWD滿意後再繼續配合做APP

●WEB前台設計與切版(RWD) 三種規格(電腦/平板/手機)
●設計風格→平面化圖像設計
●我方提供參考網站

關於程式/後台
●前/後台架..欲查看案件詳細內容，請先登入或免費註冊"	在家工作 / 在自設公司、工作室接案	60 天 【長期合作】 (註:尋找日後配合人選)	高
